City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Bocana De Paiwas,NI,2022-04-24 15:27:30,12.7857,-85.1227,83.19,62,7,7.61
178,Liku,ID,2022-04-24 15:27:31,-0.7275,119.8922,76.3,91,100,1.12
179,Ambulu,ID,2022-04-24 15:27:31,-8.345,113.6058,77.67,89,83,3.09
180,Ambon,ID,2022-04-24 15:27:32,-3.6954,128.1814,80.74,83,40,6.91
181,Kaitangata,NZ,2022-04-24 15:27:32,-46.2817,169.8464,51.89,81,100,13.6
182,Katsuura,JP,2022-04-24 15:27:32,35.1333,140.3,62.51,93,100,9.82
183,Humboldt,US,2022-04-24 15:27:33,40.6665,-123.9178,41.18,83,91,1.01
184,Metro,ID,2022-04-24 15:27:33,-5.1131,105.3067,76.37,92,55,4.68
185,Lebu,CL,2022-04-24 15:27:34,-37.6167,-73.65,57.69,87,100,23.91
186,Husavik,IS,2022-04-24 15:27:34,66.0449,-17.3389,43.59,81,52,4.27
187,Vallenar,CL,2022-04-24 15:27:34,-28.5708,-70.7581,67.66,60,5,5.23
188,Utica,US,2022-04-24 15:27:35,43.1009,-75.2327,63.64,46,37,5.01
189,Tessalit,ML,2022-04-24 15:27:35,20.1986,1.0114,95.79,5,0,14.07
190,Lerwick,GB,2022-04-24 15:27:35,60.1545,-1.1494,48.2,80,95,16.17
191,Yerbogachen,RU,2022-04-24 15:27:36,61.2767,108.0108,25.03,87,100,2.77
192,Vardo,NO,2022-04-24 15:27:36,70.3705,31.1107,38.84,84,100,15.88
193,Asosa,ET,2022-04-24 15:27:37,10.0667,34.5333,74.23,55,92,0.63
194,Oussouye,SN,2022-04-24 15:25:19,12.485,-16.5469,107.78,27,63,11.43
195,Lompoc,US,2022-04-24 15:27:37,34.6391,-120.4579,67.78,77,0,8.99
196,Jacareacanga,BR,2022-04-24 15:27:38,-6.2222,-57.7528,88.74,53,99,5.03
197,Port Alfred,ZA,2022-04-24 15:27:38,-33.5906,26.891,62.19,82,98,5.99
198,Smidovich,RU,2022-04-24 15:27:39,48.6,133.8167,40.15,48,26,10.27
199,Buluang,PH,2022-04-24 15:27:39,13.3068,123.3425,77.74,90,100,4.03
200,Braganca,BR,2022-04-24 15:27:39,-1.0536,-46.7656,73.87,96,100,1.03
201,Coari,BR,2022-04-24 15:27:40,-4.085,-63.1414,82.89,73,100,3.65
202,Kununurra,AU,2022-04-24 15:27:40,-15.7667,128.7333,71.58,88,80,0.0
203,Phuket,TH,2022-04-24 15:27:41,8.0,98.25,79.02,94,75,4.61
204,Avera,US,2022-04-24 15:27:41,33.194,-82.5271,76.55,65,100,6.46
205,Mporokoso,ZM,2022-04-24 15:27:42,-9.3727,30.125,69.89,86,98,3.38
206,Chipinge,ZW,2022-04-24 15:27:42,-20.1883,32.6236,68.86,78,48,4.74
207,Suntar,RU,2022-04-24 15:27:43,62.1444,117.6319,26.4,93,100,3.29
208,Kruisfontein,ZA,2022-04-24 15:27:43,-34.0033,24.7314,59.88,55,51,14.67
209,Southbridge,US,2022-04-24 15:27:43,42.0751,-72.0334,50.67,52,100,4.0
210,Kondagaon,IN,2022-04-24 15:27:44,19.6,81.6667,85.89,28,69,2.3
211,Cabedelo,BR,2022-04-24 15:27:44,-6.9811,-34.8339,74.07,75,90,16.17
212,Abalak,RU,2022-04-24 15:27:45,58.1286,68.5944,36.97,70,62,5.97
213,Laramie,US,2022-04-24 15:27:45,41.3114,-105.5911,35.56,67,100,23.02
214,Nome,US,2022-04-24 15:27:45,64.5011,-165.4064,35.67,93,75,0.0
215,Cayenne,GF,2022-04-24 15:25:17,4.9333,-52.3333,86.04,1,75,6.91
216,Natal,BR,2022-04-24 15:24:06,-5.795,-35.2094,86.22,70,75,16.11
217,Batemans Bay,AU,2022-04-24 15:27:46,-35.7167,150.1833,61.11,86,100,2.46
218,Niquelandia,BR,2022-04-24 15:27:46,-14.4739,-48.4597,89.83,40,55,6.13
219,Icatu,BR,2022-04-24 15:28:47,-2.7758,-44.0658,88.23,77,100,0.43
220,Nazarovo,RU,2022-04-24 15:28:47,56.0064,90.3914,28.31,67,87,5.17
221,Altay,CN,2022-04-24 15:28:47,47.8667,88.1167,32.88,55,92,9.26
222,Cape Girardeau,US,2022-04-24 15:28:48,37.3834,-89.7168,71.02,76,100,5.99
223,Usogorsk,RU,2022-04-24 15:28:48,63.4106,48.6872,34.32,98,100,5.08
224,Mayo,US,2022-04-24 15:26:08,38.8876,-76.5119,75.13,63,0,6.91
225,Algiers,DZ,2022-04-24 15:26:30,36.7525,3.042,64.22,63,20,11.5
226,San Ramon,US,2022-04-24 15:28:49,37.7799,-121.978,57.58,88,0,4.61
227,Pareora,NZ,2022-04-24 15:28:49,-44.4871,171.2132,49.17,97,90,8.01
228,Ha Tinh,VN,2022-04-24 15:28:02,18.3333,105.9,78.94,81,0,5.39
229,College,US,2022-04-24 15:28:49,64.8569,-147.8028,33.08,80,20,0.0
230,Sao Joao Da Barra,BR,2022-04-24 15:28:50,-21.6403,-41.0511,84.29,60,4,13.82
231,Deputatskiy,RU,2022-04-24 15:28:50,69.3,139.9,0.18,99,100,1.5
232,Gazimurskiy Zavod,RU,2022-04-24 15:28:51,51.5461,118.3266,29.61,80,91,1.72
233,Kamaishi,JP,2022-04-24 15:28:51,39.2667,141.8833,52.9,93,68,6.87
