City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
138,Atuona,PF,-9.8,-139.0333,78.37,81,100,13.0,overcast clouds
139,Gazojak,TM,41.1875,61.4036,66.79,57,100,12.17,overcast clouds
140,Georgetown,MY,5.4112,100.3354,80.55,94,20,3.44,few clouds
141,Oussouye,SN,12.485,-16.5469,73.58,71,88,7.43,overcast clouds
142,Rajauri,IN,33.3833,74.3,76.1,33,0,5.7,clear sky
143,Upernavik,GL,72.7868,-56.1549,-1.7,89,6,3.65,clear sky
144,Roald,NO,62.5833,6.1333,48.76,81,100,26.46,light rain
145,Mugla,TR,37.2303,28.3557,53.98,64,100,4.36,overcast clouds
146,Faya,SA,18.3851,42.4509,64.51,55,100,2.04,overcast clouds
147,Nampula,MZ,-15.1165,39.2666,66.15,94,75,8.05,broken clouds
148,Thompson,CA,55.7435,-97.8558,26.76,86,100,12.66,overcast clouds
149,Mersin,TR,36.862,34.6509,64.38,83,89,3.58,overcast clouds
150,Mehamn,NO,71.0357,27.8492,25.47,78,96,13.96,overcast clouds
151,Belmonte,BR,-15.8631,-38.8828,75.88,80,0,4.97,clear sky
152,Hovd,MN,48.0056,91.6419,57.27,16,24,6.38,few clouds
153,Tiksi,RU,71.6872,128.8694,17.17,82,60,11.01,broken clouds
154,Tasiilaq,GL,65.6145,-37.6368,19.18,56,75,4.81,broken clouds
155,Honavar,IN,14.2833,74.45,83.52,68,94,5.82,overcast clouds
156,Luanda,AO,-8.8368,13.2343,78.8,89,75,2.3,broken clouds
157,Monywa,MM,22.1167,95.1333,87.82,42,0,7.76,clear sky
158,Lakhdenpokhya,RU,61.5198,30.1992,33.35,94,50,5.37,scattered clouds
159,Bethel,US,41.3712,-73.414,58.35,55,100,4.0,overcast clouds
160,Katsuura,JP,35.1333,140.3,58.6,59,100,9.98,moderate rain
161,Liuli,TZ,-11.0833,34.6333,72.36,76,75,6.31,light rain
162,Ziro,IN,27.6333,93.8333,48.94,86,100,1.41,overcast clouds
163,Saurimo,AO,-9.6608,20.3916,62.76,70,81,4.09,broken clouds
164,Constitucion,CL,-35.3333,-72.4167,52.93,75,12,7.31,few clouds
165,Camargo,MX,27.6667,-105.1667,90.05,4,1,16.15,clear sky
166,Rio Grande,BR,-32.035,-52.0986,49.95,74,10,9.4,clear sky
167,Maningrida,AU,-12.0667,134.2667,86.04,50,88,13.87,overcast clouds
168,Mitchell,US,43.7094,-98.0298,46.38,72,100,13.8,overcast clouds
169,Yulara,AU,-25.2406,130.9889,64.24,52,99,11.5,overcast clouds
170,Hue,VN,16.4667,107.6,69.91,94,75,12.66,mist
171,Arlit,NE,18.7369,7.3853,83.25,12,31,9.82,scattered clouds
172,Butaritari,KI,3.0707,172.7902,81.37,78,33,12.71,light rain
173,Carutapera,BR,-1.195,-46.02,75.69,94,100,4.36,moderate rain
174,Lebu,CL,-37.6167,-73.65,52.45,90,0,15.1,clear sky
175,Gat,IL,31.61,34.7642,63.28,89,14,5.21,few clouds
176,Opunake,NZ,-39.4556,173.8583,67.12,75,52,13.98,broken clouds
177,Lavrentiya,RU,65.5833,-171.0,18.9,73,11,11.5,few clouds
178,Bonthe,SL,7.5264,-12.505,80.8,84,26,5.28,scattered clouds
179,Bosaso,SO,11.2842,49.1816,85.39,66,4,9.55,clear sky
180,Richards Bay,ZA,-28.783,32.0377,61.36,81,0,6.93,clear sky
181,Marawi,PH,7.9986,124.2928,77.63,79,97,1.25,overcast clouds
182,Airai,TL,-8.9266,125.4092,72.23,49,68,5.37,broken clouds
183,Mayumba,GA,-3.432,10.6554,77.36,93,87,4.45,light rain
184,Kahului,US,20.8947,-156.47,80.62,73,40,20.71,scattered clouds
185,Udachnyy,RU,66.4167,112.4,24.94,77,24,12.8,few clouds
186,Mao,ES,39.8885,4.2658,57.76,94,20,3.44,few clouds
187,San Patricio,US,28.017,-97.5169,83.12,81,97,15.5,overcast clouds
188,Komsomolskiy,UZ,40.4272,71.7189,66.92,55,100,4.61,overcast clouds
189,Tautira,PF,-17.7333,-149.15,79.65,73,83,6.71,broken clouds
190,Voh,NC,-20.9667,164.7,82.83,69,53,3.71,broken clouds
191,Kashi,CN,39.4547,75.9797,61.81,25,20,6.71,few clouds
192,Pevek,RU,69.7008,170.3133,19.85,70,100,8.21,overcast clouds
193,Sangar,RU,63.9242,127.4739,34.72,91,100,16.82,snow
194,Tarut,SA,26.5733,50.0369,75.42,55,0,4.94,clear sky
195,Beringovskiy,RU,63.05,179.3167,20.19,74,32,14.63,scattered clouds
196,Vila Velha,BR,-20.3297,-40.2925,78.75,80,0,9.22,clear sky
197,Broken Hill,AU,-31.95,141.4333,60.51,63,0,8.05,clear sky
198,Suoyarvi,RU,62.0833,32.35,28.15,99,58,4.52,light snow
199,Port Keats,AU,-14.25,129.55,86.58,46,72,13.73,broken clouds
200,Tateyama,JP,34.9833,139.8667,57.42,66,100,5.82,overcast clouds
201,Nador,MA,35.174,-2.9287,62.85,39,0,1.14,clear sky
202,Izberbash,RU,42.5696,47.8645,50.05,81,91,5.3,overcast clouds
203,Marondera,ZW,-18.1853,31.5519,51.24,92,73,11.43,broken clouds
204,Kavieng,PG,-2.5744,150.7967,84.94,71,86,9.6,overcast clouds
205,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.3,83,29,13.11,scattered clouds
206,Samarai,PG,-10.6167,150.6667,82.94,74,62,8.63,broken clouds
207,Havelock,US,34.8791,-76.9013,71.94,83,75,11.5,broken clouds
208,Zhaotong,CN,27.3167,103.7167,44.53,74,99,4.92,overcast clouds
209,Vao,NC,-22.6667,167.4833,75.4,87,7,19.42,clear sky
210,Palma Di Montechiaro,IT,37.1926,13.765,53.02,70,0,5.57,clear sky
211,Monkey Bay,MW,-14.0728,34.9201,68.27,82,0,16.37,clear sky
212,Malinovskiy,RU,61.1953,62.8397,27.81,91,34,7.54,scattered clouds
213,Tiznit,MA,29.5833,-9.5,61.99,44,0,2.37,clear sky
214,Asilah,MA,35.465,-6.0348,62.56,87,0,5.06,clear sky
215,Turukhansk,RU,65.8167,87.9833,27.01,90,18,11.61,few clouds
216,San Policarpo,PH,12.1791,125.5072,83.37,71,100,8.12,overcast clouds
217,Bedesa,ET,8.9,40.7833,62.55,81,81,1.99,light rain
218,Kindu,CD,-2.95,25.95,69.13,96,100,3.13,overcast clouds
219,Kollam,IN,8.8833,76.6,77.36,89,100,4.76,overcast clouds
220,Brora,GB,58.0099,-3.8518,50.04,84,97,8.23,overcast clouds
221,Pisco,PE,-13.7,-76.2167,64.45,82,0,13.8,clear sky
222,Nanortalik,GL,60.1432,-45.2371,37.09,84,100,4.59,overcast clouds
223,Vardo,NO,70.3705,31.1107,28.11,69,100,7.83,overcast clouds
224,Linguere,SN,15.3953,-15.1193,86.22,39,3,6.91,clear sky
225,Arti,RU,56.4234,58.5328,30.11,74,3,6.51,clear sky
226,Ust-Nera,RU,64.5667,143.2,35.55,89,46,2.75,scattered clouds
227,Hilo,US,19.7297,-155.09,76.28,93,100,10.36,moderate rain
228,Flinders,AU,-34.5833,150.8552,72.37,73,2,5.99,clear sky
229,Codrington,AU,-38.2667,141.9667,66.97,56,100,12.62,overcast clouds
230,Ilhabela,BR,-23.7781,-45.3581,73.29,85,14,4.5,light rain
231,Mackay,AU,-21.15,149.2,80.69,78,100,16.11,overcast clouds
232,Cockburn Town,TC,21.4612,-71.1419,75.16,83,75,8.05,broken clouds
233,Phichit,TH,16.25,100.4167,84.0,71,100,7.2,overcast clouds
234,Midyat,TR,37.4247,41.3393,52.88,83,100,7.38,overcast clouds
235,Verkhnevilyuysk,RU,63.4453,120.3167,25.07,63,100,14.43,overcast clouds
236,At-Bashi,KG,41.1702,75.8106,49.75,42,14,6.91,few clouds
237,Kazachinskoye,RU,57.6953,93.2761,37.71,80,100,16.02,overcast clouds
238,Sumbe,AO,-11.2061,13.8437,75.51,89,13,7.85,few clouds
239,Kodiak,US,57.79,-152.4072,45.91,71,100,16.11,overcast clouds
240,San Quintin,MX,30.4833,-115.95,61.97,72,0,14.99,clear sky
241,Aitape,PG,-3.1374,142.3475,82.36,81,93,5.68,overcast clouds
242,Ponta Do Sol,PT,32.6667,-17.1,65.01,74,0,4.12,clear sky
243,Kadoma,JP,34.7333,135.5833,64.65,45,75,4.61,broken clouds
244,Sao Francisco,BR,-15.9486,-44.8644,77.41,38,99,4.14,light rain
245,Fairbanks,US,64.8378,-147.7164,56.08,34,0,5.75,clear sky
246,Buala,SB,-8.145,159.5921,84.76,70,98,4.38,light rain
247,Kanchanaburi,TH,14.6333,99.1,75.92,89,100,6.04,light rain
248,Takoradi,GH,4.8845,-1.7554,79.9,84,100,7.36,overcast clouds
249,Abu Samrah,SY,35.3029,37.1841,58.21,82,0,10.65,clear sky
250,Raichur,IN,16.2,77.3667,86.05,40,99,11.5,overcast clouds
251,Tura,IN,25.5198,90.2201,72.46,90,47,5.14,scattered clouds
252,Belaya Gora,RU,68.5333,146.4167,31.39,100,47,6.38,scattered clouds
253,Storsteinnes,NO,69.2408,19.2344,32.65,98,99,2.13,snow
254,Djibo,BF,14.1022,-1.6306,89.8,28,70,3.27,broken clouds
255,Kaeo,NZ,-35.1,173.7833,69.33,76,100,7.78,overcast clouds
256,Troitsko-Pechorsk,RU,62.7084,56.1964,24.48,88,99,4.68,overcast clouds
257,Borovoy,RU,55.4333,86.0833,45.68,76,20,4.47,light intensity shower rain
258,Norman Wells,CA,65.282,-126.8329,53.64,37,40,20.71,scattered clouds
259,Korla,CN,41.7597,86.1469,61.18,25,6,3.87,clear sky
260,Quebec,CA,46.8123,-71.2145,50.22,61,20,18.41,few clouds
261,Susanville,US,40.4163,-120.653,65.66,29,0,4.61,clear sky
262,Altamont,US,42.2068,-121.7372,62.78,30,0,6.91,clear sky
263,Esso,RU,55.9333,158.7,33.31,83,99,4.03,overcast clouds
264,Souillac,MU,-20.5167,57.5167,71.98,94,20,1.14,few clouds
265,Syriam,MM,16.7722,96.2378,78.91,83,75,5.75,broken clouds
266,Alexandria,EG,31.2156,29.9553,64.36,72,0,5.75,clear sky
267,Banda Aceh,ID,5.5577,95.3222,82.31,76,100,11.27,overcast clouds
268,Saint Anthony,US,45.0205,-93.218,44.92,85,100,16.11,overcast clouds
269,Weiser,US,44.251,-116.9693,70.0,50,4,11.01,clear sky
270,Jutai,BR,-5.1833,-68.9,73.76,98,100,2.35,overcast clouds
271,Noumea,NC,-22.2763,166.4572,84.18,99,44,13.8,scattered clouds
272,Visnes,NO,59.3556,5.2242,42.22,93,25,2.3,scattered clouds
273,Enshi,CN,30.3,109.4833,61.45,69,100,0.94,overcast clouds
274,Klyuchi,RU,52.2667,79.1667,63.5,76,85,8.41,overcast clouds
275,San Carlos De Bariloche,AR,-41.1456,-71.3082,37.96,93,19,3.24,few clouds
276,Taltal,CL,-25.4,-70.4833,60.75,82,29,3.4,scattered clouds
277,Shieli,KZ,44.1667,66.75,67.05,42,86,8.12,overcast clouds
278,Andreapol,RU,56.6513,32.2664,32.9,78,18,2.66,few clouds
279,Puerto Ayora,EC,-0.7393,-90.3518,72.41,89,59,4.76,broken clouds
280,Saint-Augustin,CA,51.226,-58.6502,33.48,81,100,19.77,snow
281,Pasighat,IN,28.0667,95.3333,75.74,67,100,0.36,overcast clouds
282,Svetlyy,RU,54.675,20.1347,39.25,90,11,2.93,few clouds
283,Jiblah,YE,13.9216,44.1467,65.17,64,35,1.61,scattered clouds
284,Vila Franca Do Campo,PT,37.7167,-25.4333,66.2,92,23,3.02,few clouds
285,Ube,JP,33.9431,131.2511,65.23,46,0,16.11,clear sky
286,Penukonda,IN,14.0833,77.5833,77.54,60,18,10.31,few clouds
287,Fortuna,US,40.5982,-124.1573,60.93,73,0,13.8,clear sky
288,Caravelas,BR,-17.7125,-39.2481,74.03,81,0,5.19,clear sky
289,Launceston,AU,-41.45,147.1667,63.34,82,100,17.27,overcast clouds
290,Ahipara,NZ,-35.1667,173.1667,68.58,60,100,6.49,overcast clouds
291,Deep River,CA,46.1001,-77.4995,53.31,70,100,9.48,overcast clouds
292,Ngudu,TZ,-2.9667,33.3333,64.65,91,95,5.97,overcast clouds
293,Necochea,AR,-38.5473,-58.7368,51.69,61,100,8.43,overcast clouds
294,Oranjemund,NA,-28.55,16.4333,68.61,21,0,11.43,clear sky
